店名,评论,口味,环境,服务,总分数
 锦城印象火锅(玉林店) ,6524,8.7,8.8,8.7,8.15
 Lian尚莲越泰料理(太古里店) ,5867,8.6,8.9,8.7,8.15
 匠和风精致料理(龙湖滨江天街店) ,5935,8.8,8.7,8.8,8.15
 锦城印象火锅(彩虹店) ,8423,8.5,8.4,8.4,8.1
 飞火令西昌自助烤肉(润扬双铁店) ,7480,8.4,8.3,8.7,8.1
 青城甲(青城山店) ,8916,8.4,8.4,8.4,8.1
 俏媳妇火锅(宽窄巷子店) ,7716,8.5,8.5,8.4,8.1
 Muben末本意大利餐厅·臻选(大悦城店) ,4591,8.6,9.0,9.1,8.05
 卢记正街饭店·川湘菜 ,11438,8.2,8.3,8.5,8.05
 金牌泰香米(成都银泰中心店) ,5067,8.9,9.0,8.9,8.05
 苏坦中东料理·清真·西餐(太古里店) ,10533,8.1,8.5,8.4,8.05
 雍容荟帝王蟹波龙海鲜盛宴(苏宁奥莱店) ,10183,8.2,8.3,8.4,8.05
 味之绝美蛙鱼火锅(建设路店) ,4969,9.0,8.7,9.0,8.05
 蓉记香辣蟹爬爬虾(宽窄巷子店) ,12404,8.5,8.3,8.2,8.049999999999999
 玛歌庄园火锅(五龙山店) ,9634,8.2,8.4,8.3,8.049999999999999
 唐宫小聚·港式点心(太古里水璟唐店) ,9632,8.2,8.6,8.3,8.049999999999999
 饕林餐厅(太古里东升店) ,15149,8.4,8.2,8.3,8.049999999999999
 大鸭梨烤鸭(天荟·万科广场店) ,6509,8.5,8.9,8.6,8.0
 大龙燚火锅(科华店) ,6161,8.8,8.5,8.8,8.0
 禄合門美蛙火锅(太古里店) ,6187,8.8,8.6,8.6,8.0
 巴蜀大宅门火锅(北门大桥店) ,8672,8.5,8.3,8.4,7.95
 大龙燚火锅(玉林总店) ,7342,8.4,8.3,8.4,7.95
 川西坝子火锅(华阳2.0直营店) ,9449,8.3,8.4,8.4,7.949999999999999
 椰妹·椰子鸡火锅(武侯大悦城店) ,7656,8.3,8.4,8.4,7.949999999999999
 不站·花胶鸡(优品道店) ,5378,9.0,8.9,8.7,7.9
 和幸(春熙路群光广场店) ,13423,8.2,8.3,8.3,7.9
 川渝味腊排铜锅家常菜(街子古镇店) ,4554,8.9,8.7,9.0,7.9
 正禾鲜·潮汕牛肉火锅(仁和新城店) ,5007,8.9,8.8,8.9,7.8999999999999995
 不站·花胶鸡(桐梓林店) ,6820,8.6,8.7,8.4,7.8500000000000005
 味之绝美蛙鱼火锅(太古里店) ,6586,8.6,8.4,8.6,7.8500000000000005
 画厨CAFE(川大店) ,6051,8.3,8.8,8.7,7.8500000000000005
 缘贡自贡菜·川菜馆(春熙路店) ,5729,8.8,8.5,8.5,7.85
 岚山·炭火烤肉料理(世纪城店) ,3795,9.1,9.0,9.1,7.800000000000001
 武士的牛·纯血和牛烧肉(双楠店) ,4182,9.1,9.0,9.2,7.800000000000001
 额尔敦必福牛匠(冻青树总店) ,7238,8.5,8.3,8.3,7.800000000000001
 碳楽·满腹和牛烧肉店(保利中心店) ,4299,9.2,9.1,9.2,7.800000000000001
 岚山·炭火烤肉料理(世纪城店) ,3795,9.1,9.0,9.1,7.800000000000001
 将军府壹号·鸡毛店(紫荆店) ,3615,9.1,9.1,9.2,7.800000000000001
 皇城熙客?巴蜀大牌档(太古里店) ,7508,8.3,8.3,8.4,7.8
 巴蜀大将火锅(ifs概念店) ,9450,8.3,8.3,8.4,7.8
 曼奈·肉桂厨房(光华店) ,9378,8.7,8.2,8.4,7.8
 乐山胖哥跷脚牛肉(东风路总店) ,7252,8.9,8.1,8.5,7.8
 烤匠麻辣烤鱼(in99银泰店) ,5487,8.9,8.8,8.6,7.75
 烤匠麻辣烤鱼(伊藤店) ,4569,8.9,8.8,8.6,7.75
 富力丽思卡尔顿酒店·丽轩中餐厅 ,4711,8.4,9.1,8.9,7.75
 Wehouse维豪斯西餐(银泰中心in99店) ,15622,8.2,8.6,8.2,7.749999999999999
 陈麻婆豆腐(旗舰店) ,16490,8.2,8.4,8.2,7.749999999999999
 天府掌柜(九眼桥店) ,10650,8.2,8.4,8.2,7.749999999999999
 鸡毛店·川菜(李家沱店) ,7164,8.7,8.4,8.4,7.7
 蜀大侠火锅(建设路第五大道店) ,6143,8.7,8.4,8.4,7.7
 TAVIE LAND塔未 ,4178,8.8,9.1,9.0,7.65
 堂前燕·川菜 ,3744,9.1,8.8,9.0,7.65
 南堂馆·新川菜(春熙路店) ,4286,8.8,9.1,9.0,7.65
 蜀镇老火锅(双楠直营店) ,4097,9.0,8.8,9.0,7.65
 么哈(科华北路店) ,8079,8.3,8.3,8.3,7.65
 8号火锅中餐厅(成都群光君悦酒店) ,3892,8.8,9.1,9.0,7.65
 三岔口·烤肉(建设路店) ,3630,9.1,8.8,9.1,7.65
